epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,892.204,1.95805,1.50961,1.17105,0.55199,0.41455,0.40601,0.18399,2.05082,1.61577,1.23048,0.00011074,0.00011074,0.00011074
56,908.246,1.97397,1.55891,1.21188,0.52657,0.39644,0.39434,0.18202,2.06436,1.61788,1.22421,0.000106891,0.000106891,0.000106891
57,924.41,1.96877,1.52507,1.18203,0.48464,0.43509,0.40015,0.18111,2.05554,1.62876,1.22694,0.000103062,0.000103062,0.000103062
58,940.669,1.9005,1.46961,1.17136,0.46872,0.44476,0.40671,0.19779,1.99964,1.55586,1.23077,9.92548e-05,9.92548e-05,9.92548e-05
59,956.528,1.91399,1.53921,1.1725,0.50471,0.43838,0.38644,0.17723,2.02751,1.59278,1.23835,9.54746e-05,9.54746e-05,9.54746e-05
60,972.516,1.88364,1.48981,1.17177,0.41749,0.45591,0.38484,0.18574,1.93285,1.60398,1.20214,9.17249e-05,9.17249e-05,9.17249e-05
61,988.387,1.90906,1.49829,1.14161,0.56534,0.41855,0.39033,0.18336,1.95328,1.56754,1.2036,8.80091e-05,8.80091e-05,8.80091e-05
62,1004.47,1.93682,1.54608,1.1834,0.56677,0.39893,0.38969,0.18869,1.96907,1.59799,1.21808,8.43312e-05,8.43312e-05,8.43312e-05
63,1020.29,1.89056,1.47824,1.17786,0.51674,0.39535,0.37674,0.1756,1.98374,1.60736,1.22275,8.06946e-05,8.06946e-05,8.06946e-05
64,1036.22,1.86847,1.44696,1.19123,0.53343,0.43675,0.41073,0.2009,1.97889,1.57361,1.21148,7.71029e-05,7.71029e-05,7.71029e-05
65,1052.35,1.9107,1.48244,1.15864,0.56645,0.44475,0.42413,0.19479,2.05956,1.56228,1.23898,7.35598e-05,7.35598e-05,7.35598e-05
66,1068.2,1.84665,1.45166,1.1684,0.5681,0.38836,0.41255,0.19713,1.9715,1.55131,1.21475,7.00687e-05,7.00687e-05,7.00687e-05
67,1084.03,1.87807,1.44264,1.17174,0.5419,0.4416,0.42562,0.20656,1.9147,1.53984,1.19876,6.6633e-05,6.6633e-05,6.6633e-05
68,1100.13,1.87295,1.39084,1.13801,0.50979,0.44274,0.42451,0.19899,1.97774,1.51717,1.21104,6.32561e-05,6.32561e-05,6.32561e-05
69,1115.97,1.8604,1.42158,1.16465,0.57811,0.42896,0.4149,0.19551,2.04451,1.571,1.23404,5.99414e-05,5.99414e-05,5.99414e-05
70,1131.75,1.91731,1.45235,1.15333,0.52141,0.4287,0.40247,0.19085,2.03496,1.63653,1.23398,5.66922e-05,5.66922e-05,5.66922e-05
71,1147.79,1.84922,1.40583,1.17933,0.55001,0.43091,0.41585,0.18581,2.03155,1.58048,1.22712,5.35116e-05,5.35116e-05,5.35116e-05
72,1163.69,1.8634,1.45037,1.15813,0.58467,0.39651,0.41264,0.18868,1.97813,1.61366,1.20239,5.04028e-05,5.04028e-05,5.04028e-05
73,1179.62,1.854,1.4078,1.13765,0.55518,0.42059,0.42155,0.20238,1.91497,1.55665,1.18778,4.73688e-05,4.73688e-05,4.73688e-05
74,1195.52,1.85116,1.37412,1.15252,0.60757,0.44471,0.44233,0.20975,1.92314,1.52386,1.18333,4.44127e-05,4.44127e-05,4.44127e-05
75,1211.71,1.7722,1.38694,1.13244,0.53677,0.47088,0.43582,0.21154,1.87738,1.49375,1.18291,4.15373e-05,4.15373e-05,4.15373e-05
76,1227.9,1.77509,1.3487,1.1211,0.54232,0.46362,0.42968,0.2094,1.89584,1.49661,1.18912,3.87455e-05,3.87455e-05,3.87455e-05
77,1243.87,1.78623,1.35439,1.12292,0.56727,0.44427,0.42419,0.20675,1.91841,1.52282,1.19485,3.60401e-05,3.60401e-05,3.60401e-05
78,1260.01,1.77952,1.38727,1.12989,0.53565,0.45877,0.43991,0.20503,1.97237,1.51979,1.20827,3.34238e-05,3.34238e-05,3.34238e-05
79,1276.05,1.81012,1.39068,1.12622,0.5291,0.47893,0.43545,0.20668,1.94534,1.49002,1.20342,3.0899e-05,3.0899e-05,3.0899e-05
80,1292.13,1.78135,1.3532,1.12757,0.57427,0.45776,0.43094,0.20929,1.90473,1.53161,1.19726,2.84683e-05,2.84683e-05,2.84683e-05
81,1308.24,1.75327,1.32448,1.12472,0.55997,0.46631,0.43105,0.20851,1.90524,1.51169,1.19384,2.61341e-05,2.61341e-05,2.61341e-05
82,1324.4,1.76214,1.30527,1.1151,0.53446,0.44807,0.42703,0.19953,1.9553,1.50422,1.21295,2.38988e-05,2.38988e-05,2.38988e-05
83,1340.44,1.78042,1.32959,1.12338,0.58621,0.4447,0.43458,0.20148,1.95351,1.55248,1.20762,2.17644e-05,2.17644e-05,2.17644e-05
84,1356.55,1.78449,1.30705,1.13173,0.59033,0.45641,0.43269,0.20794,1.91722,1.52717,1.19313,1.97332e-05,1.97332e-05,1.97332e-05
85,1372.73,1.76009,1.28959,1.1116,0.57273,0.4588,0.4283,0.20289,1.93637,1.51343,1.19846,1.7807e-05,1.7807e-05,1.7807e-05
